ano,campeonato,cod_categoria,data_jogo,estadio,estadio_UF,estadio_municipio,hora_jogo,id_campeonato,id_url,num_jogo,publicado,resultado,rodada,time_mandante,time_mandante_UF,time_visitante,time_visitante_UF,url_boletim,url_rdj,url_sumula
06/02/2022,Supercopa do Brasil - Feminino,55,2022-02-06,,,,,1026,06/02/2022,1,docNaoPublicado,- x -,1,Grêmio,RS,Cruzeiro Esporte Clube,MG,,,
06/02/2022,Supercopa do Brasil - Feminino,55,2022-02-06,,,,,1026,06/02/2022,2,docNaoPublicado,- x -,1,Flamengo,RJ,A. A. Esmac,PA,,,
06/02/2022,Supercopa do Brasil - Feminino,55,2022-02-06,,,,,1026,06/02/2022,3,docNaoPublicado,- x -,1,Corinthians,SP,Palmeiras,SP,,,
06/02/2022,Supercopa do Brasil - Feminino,55,2022-02-06,,,,,1026,06/02/2022,4,docNaoPublicado,- x -,1,Internacional,RS,Real Brasília,DF,,,
10/12/2021,Liga de Desenvolvimento - Sub-16 Feminino,188,2021-12-10,CT do Sorocaba 1,SP,Sorocaba,14:00:00,1032,10/12/2021,9,sim,3 X 0  ,3,Internacional,RS,Palmeiras,SP,"href=""https://conteudo.cbf.com.br/sumulas/2021/18810329b.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/18810329rdj.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/18810329se.pdf"""
10/12/2021,Liga de Desenvolvimento - Sub-16 Feminino,188,2021-12-10,CT do Sorocaba 2,SP,Sorocaba,14:00:00,1032,10/12/2021,10,sim,1 X 2  ,3,Fluminense,RJ,São Paulo,SP,"href=""https://conteudo.cbf.com.br/sumulas/2021/188103210b.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/188103210rdj.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/188103210se.pdf"""
10/12/2021,Liga de Desenvolvimento - Sub-16 Feminino,188,2021-12-10,CT do Sorocaba 1,SP,Sorocaba,16:00:00,1032,10/12/2021,11,sim,0 X 6  ,3,Chapecoense,SC,Ferroviária,SP,"href=""https://conteudo.cbf.com.br/sumulas/2021/188103211b.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/188103211rdj.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/188103211se.pdf"""
10/12/2021,Liga de Desenvolvimento - Sub-16 Feminino,188,2021-12-10,CT do Sorocaba 2,SP,Sorocaba,16:00:00,1032,10/12/2021,12,sim,0 X 2  ,3,Vasco da Gama,RJ,Santos Fc,SP,"href=""https://conteudo.cbf.com.br/sumulas/2021/188103212b.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/188103212rdj.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/188103212se.pdf"""
10/12/2021,Liga de Desenvolvimento - Sub-14 Feminino,187,2021-12-10,CT do Sorocaba 1,SP,Sorocaba,08:00:00,1032,10/12/2021,9,sim,3 X 0  ,3,A. D. Centro Olímpico,SP,Criciúma,SC,"href=""https://conteudo.cbf.com.br/sumulas/2021/18710329b.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/18710329rdj.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/18710329se.pdf"""
10/12/2021,Liga de Desenvolvimento - Sub-14 Feminino,187,2021-12-10,CT do Sorocaba 2,SP,Sorocaba,08:00:00,1032,10/12/2021,10,sim,0 X 0  ,3,Grêmio,RS,Minas Brasilia,DF,"href=""https://conteudo.cbf.com.br/sumulas/2021/187103210b.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/187103210rdj.pdf""","href=""https://conteudo.cbf.com.br/sumulas/2021/187103210se.pdf"""
